f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,time,idx,direction,rule,atr,entry_price,label
0.77,-0.35,0.19,0.1463,-0.2835,0.334038,0.816327,1.416667,0.913534,0.0,0.428103,-0.321413,0.359922,1.576975,0.54,0.120291,-1.017845,0.37594,0.186916,4.263158,0.152568,0.226730310141095,0.3624999998382661,0.9135338345521112,0.8474567172093929,1.0303758020498714,1.71183079957713,2.220753469721665,2.2115003302645,3.673496364498155,0.0925313945718675,0.2041747459853931,-0.2186773804309826,10.178453402891543,-0.9659258262890684,0.9510565162951536,2020-01-07 19:05:00,30,1,R2d_continuation,1.0807142857142935,1572.34,0
0.955752,0.0,0.911504,0.871172,0.0,-0.090237,2.017857,-0.083333,0.81203,2.354167,1.124289,0.687195,2.148557,2.860396,0.911504,-0.03981,0.01327,0.849624,2.815789,0.097087,1.013559,-0.045161290425283,-0.1335616439109144,0.8120300751269047,0.2976516435378273,0.5207145932698266,-0.2255924170317773,0.3184834122800319,2.3355450233868007,1.419905213081671,1.472985781795261,-0.0174735314244283,-0.4083470731871139,19.90521326750124,-0.8660254037844386,0.9510565162951536,2020-01-07 20:15:00,44,1,R2b_v_reversal,0.7535714285714091,1571.78,1
0.783505,0.206186,0.773196,0.605803,0.046764,0.419732,1.306397,0.916667,0.893939,0.0,0.845996,-0.047858,1.311822,0.348664,0.56701,1.139847,-1.354406,0.489899,0.64486,0.293333,0.820146,-0.0067466267901821,0.0866666665493303,0.893939393894228,0.5686564896737109,0.7691799499447212,0.8314176244097704,0.4827586206251066,2.655172413437172,2.373563218072577,0.5632183907291894,0.1928683669004003,-0.4093753182713132,20.114942526039,-0.8660254037844386,0.9510565162951536,2020-01-07 20:20:00,45,1,R2d_continuation,0.7457142857142571,1572.47,0
0.228346,-0.125984,0.669291,-0.516461,-0.041664,-0.751712,1.5875,-1.416667,0.102473,0.0,-1.282885,0.614798,-2.109393,0.29181,-0.543307,-1.967568,1.387387,0.448763,0.854369,0.494118,-1.09955,-0.0454545455396263,-0.298136646000377,0.1024734982295843,0.2330913180342495,-0.0096120456414143,-3.0270270266455035,-2.3963963960943806,-1.942342342097412,-1.0216216214930367,3.203603603199657,0.525888022100687,-0.3094695980595042,18.91891891653368,-0.7071067811865477,0.9510565162951536,2020-01-07 21:10:00,55,-1,R2d_continuation,0.7928571428571038,1570.57,0
0.037037,0.333333,0.592593,-0.570645,0.135802,0.163333,1.009346,0.083333,0.697674,-1.285714,-0.164008,-0.122896,-0.517096,1.99106,-0.925926,0.190909,-0.530303,0.313953,0.8,0.6875,-0.292783,0.2132867130539324,0.1292134827219072,0.6976744185235016,0.866647214206259,0.8306642105073253,0.8484848483045891,4.412121211185214,2.5454545449142496,5.048484847413777,0.3606060605297277,-0.3438145490850106,-0.3702770781697537,36.06060605295734,-0.2588190451025215,0.9510565162951536,2020-01-07 23:20:00,81,-1,R2b_v_reversal,0.4714285714285649,1572.09,0
0.994764,-0.21466,0.774869,0.770812,-0.048327,1.426679,1.585062,1.583333,0.997727,0.0,2.943945,-0.228305,2.603081,0.618207,0.989529,0.038113,-3.125227,0.434091,0.857143,0.290541,1.391075,0.4344042836267505,0.4663865545000196,0.9977272727045992,0.888858933014424,1.233508556716786,5.577132485679993,6.94918330220251,6.61887477229893,7.55898366510147,-0.0254083484540992,1.7959047558574044,0.0807312096429511,17.785843917885675,-0.2588190451025215,0.9510565162951536,2020-01-07 23:35:00,84,1,R2d_continuation,0.7871428571428558,1576.44,0
0.244828,0.058621,0.451724,-0.34113,0.03214,0.963274,1.779141,0.083333,0.582061,-1.518325,-4.482318,-0.07239,-1.401084,3.312114,-0.510345,0.89823,-2.415929,0.553435,0.873333,1.21374,-0.58862,0.2935779815239726,0.2558139534130457,0.5820610686912158,0.7519790459599777,0.957646352744132,2.97345132712676,3.3761061943419297,4.470501474464875,4.29498525029413,1.362831858266314,1.8792248162526657,0.3292293212832935,11.356932152219832,-0.2588190451025215,0.9510565162951536,2020-01-07 23:40:00,85,-1,R2a_vol_breakout,0.9685714285714246,1575.13,1
0.723032,-0.556851,0.110787,-0.030684,-0.495159,0.108752,1.719298,0.916667,0.681716,-2.858333,-3.092073,0.908897,1.088198,0.67673,0.446064,0.493009,-0.391507,0.774266,2.985075,8.026316,-0.09146,0.1822682267367139,0.0658073269552946,0.6817155756054,0.3188201232387861,0.9398668527050534,-0.3842568617017959,2.798549973903882,4.103573277796808,2.9435525632253547,1.0222682547160458,0.1829800141231914,0.8405200348301276,31.17555670410957,0.2588190451025207,0.5877852522924732,2020-01-08 01:00:00,89,-1,R2c_gap_fade,1.3792857142857105,1575.91,0
0.693271,0.203443,0.589984,0.409019,0.083415,0.994238,4.142626,1.416667,0.788907,0.0,10.044,1.188625,3.566823,2.595815,0.386541,3.826152,-1.451904,0.688207,1.834146,0.69496,1.147446,0.3495420845534498,0.4940079893078346,0.7889068389833616,0.7943147597780715,1.3715400346021236,4.969438877581197,4.6082164327040935,6.1688376751343545,5.32715430843037,-2.451402805525264,0.8065089561765189,2.384599731679107,2.454909819553194,0.2588190451025207,0.5877852522924732,2020-01-08 01:20:00,93,1,R2d_continuation,2.8514285714285603,1588.08,0
0.005703,0.304183,0.684411,-0.680507,0.095997,0.854881,0.970032,-0.416667,0.554965,-0.411581,-1.340762,-0.172544,-1.559104,4.149526,-0.988593,-0.716033,-2.913943,0.310875,0.480053,0.461111,-0.905069,0.2319665906976188,0.293986636944527,0.5549645390038158,0.7597457438781029,1.0310741930819889,2.664887702830085,2.4998888146875755,4.202801867781119,3.60507004658556,2.344229486251238,0.8871681398996363,2.602499398778928,3.7358238824721055,0.2588190451025207,0.5877852522924732,2020-01-08 01:25:00,94,-1,R2a_vol_breakout,3.212142857142843,1584.47,0
0.359435,0.613607,0.332478,0.119504,0.409597,0.401115,1.142648,1.583333,0.736814,0.0,1.806258,0.269983,0.723205,0.25328,-0.28113,1.651795,-1.527361,0.410865,0.609756,2.007722,0.38967,0.2847113884212631,0.3492693110434451,0.7368143459876751,0.7778783009377603,1.0750294567268626,3.081561519618132,4.8675496687554505,5.211571976171268,4.952945276979208,-0.290345067960864,-0.0823614143840848,2.811966038735102,1.7079121644755928,0.2588190451025207,0.5877852522924732,2020-01-08 01:40:00,97,-1,R2b_v_reversal,4.098571428571404,1593.19,0
0.714689,0.10452,0.533898,0.381571,0.048717,0.431606,1.423831,1.583333,0.876829,0.0,0.824248,-0.008875,1.791519,0.428011,0.429379,0.360881,-1.158808,0.431707,0.708411,0.873016,0.626123,0.3292565946963853,0.2730590576998177,0.8768292682873365,0.736864242063833,0.9586911385782944,2.0111398963365694,3.5435233159979065,4.999740932551804,3.605181347084856,0.0054404145076684,-0.3204417342829994,2.3550921779113114,2.3575129533251213,0.4999999999999999,0.5877852522924732,2020-01-08 02:15:00,104,1,R2d_continuation,5.514285714285718,1604.01,0
0.15415,0.537549,0.15415,-0.130388,0.454686,-0.325973,1.866011,-1.583333,0.110066,0.0,-1.246463,0.473229,-0.571835,1.094942,-0.6917,-0.239227,0.241308,0.714017,0.246544,5.487179,-0.225531,0.0717566015843731,-0.3138597905005409,0.1100658513630342,0.1275028628637608,0.4838140813899703,-1.6059435363707653,-0.4784546805249577,2.0469539375503247,0.6469539375794388,2.793759286717492,-0.1824431392701544,1.00313119459231,1.4561664189890309,0.7071067811865475,0.5877852522924732,2020-01-08 03:00:00,113,-1,R2d_continuation,4.807142857142837,1597.92,0
0.792487,-0.254025,0.330948,0.262272,-0.169956,-0.646612,1.387958,-0.083333,0.312412,0.68254,1.049399,-0.151878,0.876894,4.001813,0.584973,-2.226213,0.658275,0.394217,0.227879,2.021622,0.416671,-0.168351231852948,-0.1924700914978522,0.3124118476705784,0.2115186982518526,0.0530304583572416,-1.4694557570889142,-1.0392447241492868,0.0285079600141032,0.4898185856963243,2.526841910338048,0.3264603766438421,0.2893216859562637,2.850796001407028,0.7071067811865475,0.5877852522924732,2020-01-08 03:45:00,122,1,R2b_v_reversal,3.8585714285714596,1594.98,0
0.430769,-0.148718,0.287179,-0.163471,-0.106009,-0.620819,0.909091,-1.583333,0.147627,0.0,-0.526266,0.147389,-0.549373,1.700016,-0.138462,-1.967681,0.662909,0.342707,0.194444,2.482143,-0.34365,-0.2022566520854423,-0.3697889861079756,0.1476274165189178,0.129703850839713,-0.0672558714453532,-1.6099210822574936,-3.5434047349687696,-6.047726418480466,-0.2209695603098344,4.669297256547552,0.3304780152563009,0.1709725540570654,1.8414130025821327,0.8660254037844386,0.5877852522924732,2020-01-08 04:05:00,126,-1,R2d_continuation,3.801428571428606,1586.98,0
0.63658,-0.631829,0.35867,-0.130348,-0.405211,-0.345414,1.366883,-2.083333,0.322115,0.0,-0.608671,0.486213,-1.327259,0.053536,0.273159,-0.906776,0.678772,0.50601,0.774359,1.788079,-0.522762,-0.2680027174023355,-0.0376226826911069,0.3221153846114958,0.401179092436783,0.16112168048729,-0.7102208910334329,-2.432047922062845,-3.0321976786925555,0.275177836009248,2.7072257580720933,0.2593875479554313,0.0386327843708551,1.8345189067284,0.8660254037844386,0.5877852522924732,2020-01-08 04:40:00,133,1,R2b_v_reversal,3.815714285714307,1586.35,1
0.78341,0.02765,0.59447,0.465714,0.011213,0.144565,0.744425,0.916667,0.632893,0.0,0.30908,-0.289751,1.079232,0.249812,0.56682,-0.735507,-0.514493,0.318649,0.740741,0.682171,0.60177,0.0037389530451954,0.3075801748564659,0.6328928046896878,0.6028518094038301,0.8282310936755678,1.5144927535683346,1.826086956455641,-1.5362318840023097,2.7971014491740207,0.9057971014164542,0.138924336133936,-0.3100024642941622,2.536231883966072,0.9659258262890684,0.5877852522924732,2020-01-08 05:30:00,143,1,R2d_continuation,2.7600000000000073,1591.39,0
0.32,0.333333,0.026667,-0.018133,0.324444,0.365259,0.887574,-0.416667,0.758294,-0.630252,-0.255798,0.212897,-0.140724,1.746237,-0.36,0.438692,-1.297003,0.35545,0.0625,36.5,-0.039057,0.0561426683251614,0.3413173651183413,0.75829383882664,0.910477372071837,0.9051233172620264,1.049046321425982,3.0708446863557017,3.7574931876526487,3.738419618172196,0.0476839237011317,0.0729744122978546,-0.6558740517895953,15.258855584376027,1.0,0.5877852522924732,2020-01-08 06:55:00,160,-1,R2b_v_reversal,1.048571428571417,1593.14,1
0.378788,-0.166667,0.409091,-0.254132,-0.098485,0.133019,0.461538,-0.916667,0.366197,0.0,-0.193841,-0.187073,-0.711244,0.651456,-0.242424,-0.886792,-0.5,0.309859,0.4375,1.444444,-0.538542,0.0790921594483193,-0.1380208333898802,0.3661971830814067,0.4967696363873915,0.54718134644339,-0.5283018867425563,-0.4999999999527995,1.1981132074341112,0.7358490565343209,1.7735849054931434,0.9742131618522668,-0.5765613586728662,10.37735848958694,0.9659258262890684,0.5877852522924732,2020-01-08 07:35:00,168,-1,R2d_continuation,1.0600000000000105,1592.01,0
