time,cid,rule,direction,bars,pnl_R,exit
2024-12-12 03:15:00,3,R1h_close_streak,-1,60,2.440664862775169,max
2024-12-12 05:05:00,3,R1d_overbought,-1,30,-4.404651162790618,hard_sl
2024-12-12 05:20:00,3,R1f_sma_reject,-1,27,-4.531758957654629,hard_sl
2024-12-12 05:30:00,3,R1a_swinghigh,-1,25,-4.109014675052427,hard_sl
2024-12-12 18:10:00,3,R1d_overbought,-1,59,0.4561085972851102,ml_exit
2024-12-12 18:20:00,3,R1g_three_red,-1,59,-0.5319612111617041,ml_exit
2024-12-13 06:00:00,3,R1f_sma_reject,-1,60,10.3969097054559,max
2024-12-13 09:15:00,3,R1f_sma_reject,-1,60,9.284395973154364,max
2024-12-13 10:15:00,3,R1b_lowerhigh,-1,60,8.232921810699814,max
2024-12-13 11:40:00,3,R1g_three_red,-1,60,4.646017699114981,max
2024-12-13 12:20:00,3,R1b_lowerhigh,-1,60,6.999999999999758,ml_exit
2024-12-13 14:30:00,3,R1d_overbought,-1,60,5.1187037689323285,max
2024-12-13 14:45:00,3,R1a_swinghigh,-1,60,7.646973541137884,max
2024-12-17 23:45:00,3,R1b_lowerhigh,-1,22,-4.808695652173692,hard_sl
2024-12-18 02:00:00,3,R1d_overbought,-1,18,-4.534883720930352,hard_sl
2024-12-18 02:10:00,3,R1e_false_breakout,-1,60,2.026622296173247,max
2024-12-18 03:00:00,3,R1e_false_breakout,-1,60,1.5813128326432144,max
2024-12-18 03:10:00,3,R1a_swinghigh,-1,60,3.355951056729569,max
2024-12-18 03:55:00,3,R1e_false_breakout,-1,60,2.709882139619327,max
2024-12-18 06:05:00,3,R1g_three_red,-1,20,-4.003722084367497,hard_sl
2024-12-18 07:00:00,3,R1f_sma_reject,-1,59,-1.9630996309961743,ml_exit
2024-12-18 07:15:00,3,R1a_swinghigh,-1,60,-1.9649122807021253,max
2024-12-18 07:35:00,3,R1b_lowerhigh,-1,60,-0.6143386897405098,max
2024-12-18 10:35:00,3,R1a_swinghigh,-1,60,1.7666286583049484,max
2024-12-18 12:15:00,3,R1d_overbought,-1,60,8.735999999999866,max
2024-12-18 12:55:00,3,R1b_lowerhigh,-1,60,8.550447761194508,max
2024-12-18 13:05:00,3,R1a_swinghigh,-1,60,10.916145181477177,max
2024-12-18 15:35:00,3,R1g_three_red,-1,60,4.334229390680704,max
2024-12-18 16:15:00,3,R1g_three_red,-1,60,9.521613832852646,max
2024-12-18 17:05:00,3,R1g_three_red,-1,60,13.143412107478202,ml_exit
2024-12-18 17:40:00,3,R1d_overbought,-1,59,23.597989949748655,ml_exit
2024-12-18 19:30:00,3,R1c_bouncefade,-1,58,30.86095068858277,ml_exit
2024-12-19 17:50:00,2,R0e_nr4_break,-1,60,-2.867515578434055,max
2024-12-20 01:45:00,0,R3e_false_breakdown,1,60,5.18433931484489,max
2024-12-20 04:55:00,0,R3a_pullback,1,60,3.772233636630518,max
2024-12-20 05:55:00,0,R3g_three_green,1,60,5.554433221100249,max
2024-12-20 06:00:00,0,R3h_close_streak,1,60,4.557395773844034,max
2024-12-20 07:25:00,0,R3e_false_breakdown,1,60,6.892307692308373,max
2024-12-20 07:40:00,0,R3g_three_green,1,60,3.9200000000003783,max
2024-12-20 07:45:00,0,R3h_close_streak,1,60,4.7881040892196225,max
2024-12-20 08:20:00,0,R3g_three_green,1,60,-1.3797729618162897,max
2024-12-20 08:40:00,0,R3i_inside_break,1,60,-1.1422060164084313,max
