base,label,model,thr,trades,per_day,profWk,nWk,totSumR,medPF,worstWk,meets
pb0.5|ct1.5,trailSL6T2,reg,-0.1169,24750,16.06,10,12,2699.6,1.054,-120.4,1
pb0.5|ct1.5,trailSL6T2,reg,-0.0425,24272,15.75,9,12,2842.2,1.067,-149.9,1
pb0.5|ct1.5,trailSL6T2,reg,0.026,23754,15.41,10,12,2794.0,1.082,-192.3,1
pb0.5|ct1.5,trailSL6T2,reg,0.091,23061,14.96,10,12,2466.1,1.069,-192.1,1
pb0.5|ct1.5,trailSL6T2,reg,0.1539,22431,14.56,10,12,2346.3,1.054,-138.8,1
pb0.5|ct1.5,trailSL6T2,reg,0.218,21595,14.01,9,12,2069.0,1.043,-78.7,1
pb0.5|ct1.5,trailSL6T2,reg,0.2841,20461,13.28,11,12,2002.0,1.048,-145.6,1
pb0.5|ct1.5,trailSL6T2,reg,0.3546,19203,12.46,10,12,2184.2,1.068,-167.5,1
pb0.5|ct1.5,trailSL6T2,reg,0.4311,17688,11.48,10,12,2409.1,1.07,-48.0,1
pb0.5|ct1.5,trailSL6T2,reg,0.5184,15820,10.27,11,12,1957.5,1.074,-51.1,1
pb0.5|ct1.5,trailSL6T2,reg,0.6234,13580,8.81,10,12,2198.5,1.072,-50.9,0
pb0.5|ct1.5,trailSL6T2,reg,0.7626,10906,7.08,8,12,1778.8,1.095,-150.7,0
pb0.5|ct1.5,trailSL6T2,reg,0.9748,7533,4.89,9,12,1429.4,1.077,-42.5,0
pb0.5|ct1.5,trailSL6T2,reg,1.4696,3146,2.04,9,12,477.2,1.088,-78.8,0
pb1.0,trailSL6T2,reg,-0.1237,22834,14.82,10,12,2601.2,1.069,-217.8,1
pb1.0,trailSL6T2,reg,-0.047,22317,14.48,10,12,2462.7,1.058,-187.7,1
pb1.0,trailSL6T2,reg,0.0238,21758,14.12,9,12,2631.9,1.051,-90.3,1
pb1.0,trailSL6T2,reg,0.0913,21125,13.71,11,12,2862.2,1.056,-89.6,1
pb1.0,trailSL6T2,reg,0.1562,20407,13.24,11,12,2684.5,1.054,-12.0,1
pb1.0,trailSL6T2,reg,0.2208,19607,12.72,10,12,2638.6,1.06,-92.1,1
pb1.0,trailSL6T2,reg,0.2885,18674,12.12,12,12,2876.6,1.062,7.8,1
pb1.0,trailSL6T2,reg,0.3602,17484,11.35,12,12,3063.3,1.088,11.4,1
pb1.0,trailSL6T2,reg,0.4384,16200,10.51,11,12,2390.4,1.081,-15.2,1
pb1.0,trailSL6T2,reg,0.5286,14554,9.44,12,12,1955.1,1.069,30.5,0
pb1.0,trailSL6T2,reg,0.6373,12489,8.1,11,12,1966.7,1.09,-6.0,0
pb1.0,trailSL6T2,reg,0.7822,9967,6.47,9,12,1047.5,1.072,-126.9,0
pb1.0,trailSL6T2,reg,0.9988,6918,4.49,9,12,990.1,1.097,-57.5,0
pb1.0,trailSL6T2,reg,1.4739,2998,1.95,7,12,288.9,1.053,-77.0,0
pb1.5,trailSL6T2,reg,-0.1039,24577,15.95,10,12,2534.2,1.057,-137.8,1
pb1.5,trailSL6T2,reg,-0.0349,24272,15.75,10,12,2814.0,1.076,-70.3,1
pb1.5,trailSL6T2,reg,0.029,23819,15.46,9,12,2437.4,1.065,-120.0,1
pb1.5,trailSL6T2,reg,0.0899,23350,15.15,11,12,2733.0,1.068,-121.7,1
pb1.5,trailSL6T2,reg,0.1492,22688,14.72,11,12,3116.9,1.08,-185.7,1
pb1.5,trailSL6T2,reg,0.2088,21949,14.24,11,12,2966.7,1.082,-137.6,1
pb1.5,trailSL6T2,reg,0.2708,21086,13.68,11,12,2938.3,1.075,-94.8,1
