cid,rule,n_b,wr_b,pf_b,n_e,wr_e,pf_e
0,R3a_pullback,14,0.21428571428571427,0.8181818176611569,17,0.35294117647058826,1.6363636350991737
0,R3b_higherlow,15,0.4,1.9999999983333336,12,0.4166666666666667,2.1428571410204085
0,R3c_breakpullback,7,0.42857142857142855,2.24999999803125,4,0.5,2.9999999969999998
0,R3d_oversold,7,0.5714285714285714,3.999999995333333,6,0.5,2.9999999969999998
0,R3e_false_breakdown,3,0.3333333333333333,1.4999999988749997,4,0.25,0.9999999993333333
0,R3f_sma_bounce,5,0.2,0.7499999995312501,3,0.3333333333333333,1.4999999988749997
0,R3g_three_green,85,0.23529411764705882,0.9230769224733727,84,0.32142857142857145,1.421052630531856
0,R3h_close_streak,48,0.3958333333333333,1.965517239752675,41,0.21951219512195122,0.8437499994594726
0,R3i_inside_break,3,0.3333333333333333,1.4999999988749997,7,0.14285714285714285,0.49999999970833325
1,R0a_bb,8,0.25,0.9999999993333333,8,0.375,1.79999999856
3,R1a_swinghigh,37,0.35135135135135137,1.6249999987473958,34,0.2647058823529412,1.0799999992656
3,R1b_lowerhigh,20,0.45,2.4545454523140493,16,0.4375,2.3333333312592592
3,R1c_bouncefade,13,0.15384615384615385,0.5454545451322315,9,0.1111111111111111,0.3749999997890625
3,R1d_overbought,17,0.4117647058823529,2.099999998215,25,0.56,3.818181813842976
3,R1e_false_breakout,13,0.23076923076923078,0.899999999415,12,0.25,0.9999999993333333
3,R1f_sma_reject,30,0.43333333333333335,2.294117645034602,28,0.5357142857142857,3.461538457810651
3,R1g_three_red,7,0.2857142857142857,1.1999999991599999,6,0.3333333333333333,1.4999999988749997
3,R1h_close_streak,15,0.3333333333333333,1.4999999988749997,11,0.36363636363636365,1.7142857129387754
