thr,n,kept_pct,WR,PF,R,DD,ΔR,ΔWR_pp
0.675,1367,1.0,0.6533,3.48,3817.3,-66.9,0.0,0.0
0.7,1183,0.865,0.6661,3.69,3424.9,-66.9,-392.4,1.3
0.725,1004,0.734,0.6703,3.88,3007.0,-59.6,-810.3,1.7
0.75,834,0.61,0.6835,4.27,2592.3,-42.9,-1225.1,3.0
0.775,660,0.483,0.6864,4.2,1898.9,-30.8,-1918.4,3.3
0.8,514,0.376,0.679,4.0,1348.6,-29.7,-2468.7,2.6
0.825,380,0.278,0.7053,4.56,1052.6,-25.6,-2764.7,5.2
0.85,245,0.179,0.6735,4.51,656.8,-25.3,-3160.5,2.0
0.875,160,0.117,0.675,5.43,500.1,-26.1,-3317.2,2.2
0.9,81,0.059,0.7407,10.82,305.6,-11.1,-3511.7,8.7
