time,cid,rule,direction,bars,pnl_R,exit
2024-12-12 00:30:00,3,RL,-1,60,1.0419456740647988,max
2024-12-12 00:40:00,3,RL,-1,60,1.0075958166780772,max
2024-12-12 01:00:00,3,RL,-1,60,1.4312440577813672,max
2024-12-12 01:10:00,3,RL,-1,60,1.1623132993242618,max
2024-12-12 01:15:00,3,RL,-1,60,0.6726847071572165,max
2024-12-12 03:20:00,3,RL,-1,27,-1.1636014189762671,hard_sl
2024-12-12 04:20:00,3,RL,-1,31,-0.987987773086448,hard_sl
2024-12-12 04:30:00,3,RL,-1,30,-0.9446210781356893,hard_sl
2024-12-12 17:10:00,3,RL,-1,59,0.5623357903023116,ml_exit
2024-12-12 18:00:00,3,RL,-1,60,0.7871842317797519,ml_exit
2024-12-12 18:30:00,3,RL,-1,60,0.48519173558786527,max
2024-12-12 19:30:00,3,RL,-1,57,-1.125100953821915,hard_sl
2024-12-12 19:35:00,3,RL,-1,54,-0.8202459695145333,hard_sl
2024-12-13 00:20:00,3,RL,-1,7,-0.6612347546949761,hard_sl
2024-12-17 14:45:00,1,RL,-1,60,-0.9068362350102435,max
2024-12-17 14:50:00,1,RL,-1,60,-1.3334900886349008,max
2024-12-17 14:55:00,1,RL,1,60,1.2977089871903666,ml_exit
2024-12-18 01:00:00,3,RL,-1,60,0.27637322755758775,max
2024-12-18 01:10:00,3,RL,-1,60,0.6184405573673163,max
2024-12-18 01:55:00,3,RL,-1,60,0.6078493513397243,max
2024-12-18 13:30:00,3,RL,-1,60,0.9231524172689558,max
2024-12-18 13:35:00,3,RL,-1,60,0.9875583998691564,max
2024-12-18 14:10:00,3,RL,-1,60,3.5539221198768667,max
2024-12-18 14:15:00,3,RL,-1,60,3.0571373074210184,max
2024-12-18 15:05:00,3,RL,-1,60,4.15919523191271,max
2024-12-18 15:40:00,3,RL,-1,60,6.806996738808239,max
2024-12-18 18:25:00,3,RL,-1,60,6.3547236165492835,max
2024-12-18 19:10:00,3,RL,-1,60,2.148154206324056,max
2024-12-18 23:00:00,2,RL,1,58,3.5261559851559787,ml_exit
2024-12-19 12:10:00,3,RL,-1,60,3.344674238629297,ml_exit
2024-12-19 13:30:00,3,RL,-1,59,0.8649007841172973,ml_exit
2024-12-19 14:30:00,1,RL,1,60,-0.03821421634273751,max
2024-12-19 19:35:00,0,RL,1,42,-1.031926965660371,hard_sl
2024-12-19 20:15:00,0,RL,1,34,-0.8888025598822342,hard_sl
2024-12-19 21:55:00,0,RL,1,60,0.681272171503897,max
2024-12-26 03:15:00,2,RL,-1,60,-0.13210382653318792,max
2024-12-26 15:15:00,2,RL,-1,60,-0.2843881942811691,max
2024-12-26 15:30:00,2,RL,1,60,-0.009589335187136202,max
2024-12-26 15:55:00,2,RL,-1,60,0.313299324248385,max
2024-12-29 23:25:00,3,RL,-1,60,0.016745555476069072,max
2024-12-30 00:15:00,3,RL,-1,60,0.04250794851611025,max
2024-12-30 09:00:00,2,RL,1,59,-0.8773526074199937,hard_sl
2024-12-30 15:35:00,2,RL,1,60,0.8434321232505638,max
2024-12-31 14:30:00,0,RL,1,60,1.3468006583722456,max
2024-12-31 16:30:00,0,RL,1,60,-0.20452477585696988,max
2024-12-31 16:35:00,0,RL,1,60,-0.24188024576505887,max
2024-12-31 16:40:00,0,RL,1,60,-0.22470531707169808,max
2025-01-02 11:05:00,0,RL,1,60,1.2208511812874698,max
2025-01-02 15:00:00,1,RL,1,60,1.0572599854830553,max
2025-01-03 11:05:00,3,RL,-1,60,1.8019362687467622,max
2025-01-03 11:15:00,3,RL,-1,60,2.3085966652013608,max
2025-01-03 13:55:00,3,RL,-1,60,1.130682805647293,max
