time,cid,rule,direction,bars,pnl_R,exit
2024-12-12 01:00:00,3,RL,-1,60,7.048990483862891,max
2024-12-12 03:50:00,3,RL,-1,17,-4.1453230472515665,hard_sl
2024-12-12 11:45:00,3,RL,-1,60,11.681971209659013,max
2024-12-12 13:30:00,3,RL,-1,60,8.29858069962552,max
2024-12-12 14:30:00,3,RL,-1,60,-0.2637007803390879,max
2024-12-12 15:10:00,3,RL,-1,60,0.016414118984549152,max
2024-12-12 18:00:00,3,RL,-1,60,2.782998409715091,ml_exit
2024-12-13 01:20:00,3,RL,-1,60,2.6342105263156936,max
2024-12-13 01:50:00,3,RL,-1,60,-1.165390152605877,max
2024-12-13 02:35:00,3,RL,-1,59,1.7978179009365305,ml_exit
2024-12-13 03:35:00,3,RL,-1,60,3.041341653665949,max
2024-12-13 03:45:00,3,RL,-1,60,5.664103352814709,max
2024-12-13 06:50:00,3,RL,-1,60,15.08675799086837,max
2024-12-13 06:55:00,3,RL,-1,60,14.987670400278436,max
2024-12-13 07:30:00,3,RL,-1,60,7.1729035782572526,max
2024-12-13 12:15:00,3,RL,-1,60,4.813477819166818,max
2024-12-18 01:00:00,3,RL,-1,60,1.572933030779161,max
2024-12-18 12:45:00,3,RL,-1,60,6.029276507546194,max
2024-12-18 13:30:00,3,RL,-1,60,4.096910303525271,max
2024-12-18 13:35:00,3,RL,-1,60,4.190707561494311,max
2024-12-18 14:10:00,3,RL,-1,59,11.115064174735606,ml_exit
2024-12-18 14:15:00,3,RL,-1,59,10.325933497301097,ml_exit
2024-12-18 15:05:00,3,RL,-1,60,13.22454817318957,max
2024-12-18 20:40:00,3,RL,-1,48,-4.256215137970497,hard_sl
2024-12-19 00:25:00,2,RL,1,60,7.6291611185083825,max
2024-12-26 15:15:00,2,RL,-1,60,-1.0712827819925492,max
2024-12-26 15:55:00,2,RL,-1,60,1.1078736172367865,max
2024-12-29 23:25:00,3,RL,-1,60,0.08329095901569766,max
2024-12-30 00:15:00,3,RL,-1,60,0.21204548931614445,max
2024-12-30 00:55:00,3,RL,-1,29,-4.740609667819045,hard_sl
2024-12-30 01:40:00,3,RL,-1,60,3.9339907014768247,max
2024-12-31 14:30:00,0,RL,1,60,4.731020613373481,max
2025-01-02 13:05:00,0,RL,1,60,9.071529544811792,max
2025-01-03 07:25:00,3,RL,1,60,1.791601866251967,max
2025-01-03 10:25:00,3,RL,-1,60,10.012881949811126,max
2025-01-03 11:05:00,3,RL,-1,60,8.457367688690702,max
2025-01-03 11:15:00,3,RL,-1,60,11.427559334041895,max
2025-01-03 11:45:00,3,RL,-1,60,12.145268904164645,max
2025-01-03 14:45:00,3,RL,-1,60,2.8598942300102683,max
2025-01-03 15:50:00,3,RL,-1,59,2.4225644575185763,ml_exit
2025-01-03 16:05:00,3,RL,-1,60,2.562053767043809,max
2025-01-03 16:40:00,3,RL,-1,59,2.3613333333332673,ml_exit
2025-01-03 17:10:00,3,RL,-1,60,0.13395203679353224,max
2025-01-06 02:40:00,3,RL,-1,60,11.714948383283318,max
2025-01-06 06:05:00,3,RL,-1,60,0.7373284926208717,max
2025-01-06 06:15:00,3,RL,-1,60,-3.975746268656704,max
2025-01-06 12:25:00,2,RL,-1,60,1.7145543981482188,max
2025-01-07 15:10:00,2,RL,1,60,0.12734733480228455,max
2025-01-09 15:20:00,0,RL,1,60,-0.9056603773585049,max
2025-01-09 16:00:00,0,RL,1,60,0.36471194811538277,max
2025-01-09 16:05:00,0,RL,1,60,0.4815166936972131,max
2025-01-09 18:15:00,0,RL,1,60,0.14030674348796063,max
2025-01-09 19:15:00,0,RL,1,60,0.5476390053087482,max
2025-01-10 09:20:00,1,RL,1,50,-6.98580217699997,hard_sl
2025-01-10 09:45:00,1,RL,1,45,-7.4807654678515645,hard_sl
2025-01-10 10:00:00,1,RL,1,42,-8.24951562631678,hard_sl
2025-01-10 17:00:00,3,RL,-1,60,1.0051878571718413,max
2025-01-10 17:30:00,3,RL,-1,60,2.60817218049121,max
2025-01-10 17:35:00,3,RL,-1,60,2.7153690872386504,max
2025-01-10 17:45:00,3,RL,-1,60,3.047441462370659,max
2025-01-13 00:10:00,3,RL,-1,60,5.202406227883855,max
2025-01-13 00:30:00,3,RL,-1,60,3.89421856758541,max
2025-01-13 00:35:00,3,RL,-1,60,3.1418901327779687,max
2025-01-13 01:55:00,3,RL,-1,60,-1.7473690416531593,max
2025-01-13 04:00:00,3,RL,-1,60,3.023396151753518,max
2025-01-13 04:05:00,3,RL,-1,60,1.1628249864845457,max
2025-01-13 04:20:00,3,RL,-1,60,1.6149301322329772,max
2025-01-13 06:00:00,3,RL,-1,60,5.663636363636596,max
2025-01-13 09:20:00,3,RL,-1,60,7.543374972468058,max
2025-01-13 09:55:00,3,RL,-1,60,5.685080442433353,max
2025-01-13 11:20:00,3,RL,-1,60,6.563798219584478,max
2025-01-15 16:45:00,0,RL,1,60,3.1731677303036063,max
2025-01-15 17:25:00,0,RL,1,60,2.233564231738023,max
2025-01-15 17:40:00,0,RL,1,60,0.8912666098538006,max
2025-01-15 18:15:00,0,RL,1,60,1.915225878416148,max
2025-01-17 00:25:00,3,RL,-1,60,0.364223557907884,max
2025-01-19 23:30:00,2,RL,1,60,2.7951466906335773,max
2025-01-20 14:15:00,0,RL,1,60,-0.3645761407801004,max
2025-01-20 17:35:00,0,RL,1,60,5.073983106691464,max
2025-01-21 01:40:00,0,RL,1,60,3.2707268012504422,max
2025-01-21 06:40:00,0,RL,1,30,-4.066658271418331,hard_sl
2025-01-21 12:20:00,0,RL,1,60,10.295490716179906,max
2025-01-21 12:30:00,0,RL,1,60,9.653507090839062,max
2025-01-21 12:35:00,0,RL,1,60,9.705744581186249,max
2025-01-23 03:25:00,0,RL,1,60,3.0752607582285716,max
2025-01-23 11:25:00,0,RL,1,11,-4.317002881844442,hard_sl
2025-01-23 12:10:00,0,RL,1,12,-4.361743842013241,hard_sl
2025-01-23 14:15:00,0,RL,1,60,3.471155480034025,max
2025-01-23 14:45:00,0,RL,1,60,4.426734372428866,max
2025-01-23 14:55:00,0,RL,1,60,2.7258327850477637,max
2025-01-23 15:10:00,0,RL,1,60,3.259077354850075,max
2025-01-23 15:40:00,0,RL,1,60,1.1492673753493519,max
2025-01-23 16:00:00,0,RL,1,60,2.5037469287471406,max
2025-01-23 16:35:00,0,RL,1,60,0.18873086898279923,max
2025-01-23 16:40:00,0,RL,1,60,-0.21221273046281383,max
2025-01-23 17:05:00,0,RL,1,60,-0.042507456270091296,max
2025-01-23 17:30:00,0,RL,1,60,-0.6982329606925245,max
2025-01-26 23:30:00,3,RL,-1,60,5.753036437247057,max
2025-01-27 00:15:00,3,RL,-1,60,6.664335358657514,max
2025-01-27 04:15:00,3,RL,-1,59,-4.041262673219099,hard_sl
2025-01-27 05:10:00,3,RL,-1,46,-4.224478285392057,hard_sl
2025-01-27 07:05:00,3,RL,-1,23,-5.221256038647332,hard_sl
2025-01-29 20:20:00,0,RL,1,59,0.6299692197449522,ml_exit
2025-01-29 23:10:00,0,RL,1,60,2.297594735647895,max
2025-01-30 19:30:00,0,RL,1,60,1.804123711340116,max
2025-01-31 14:55:00,2,RL,1,40,-4.972316002700887,hard_sl
2025-01-31 17:30:00,0,RL,1,30,-4.248484072081205,hard_sl
2025-01-31 18:20:00,0,RL,1,51,-4.31772036686964,hard_sl
2025-01-31 19:15:00,0,RL,-1,59,4.192093728927849,ml_exit
2025-01-31 19:20:00,0,RL,1,39,-4.8697214734951615,hard_sl
2025-01-31 19:30:00,0,RL,-1,59,6.283459179434423,ml_exit
2025-01-31 20:15:00,0,RL,-1,59,7.816885392015254,ml_exit
2025-02-02 23:40:00,0,RL,1,60,-2.241110100338093,max
2025-02-03 01:30:00,0,RL,1,60,1.0050039060025968,max
2025-02-04 02:50:00,0,RL,1,41,-4.082941746848562,hard_sl
2025-02-04 09:40:00,0,RL,1,60,8.721035209148278,max
2025-02-04 13:15:00,0,RL,1,60,9.432964601769704,max
2025-02-04 13:20:00,0,RL,1,60,4.826751592356665,max
2025-02-04 15:10:00,0,RL,1,60,-0.10992725716722948,max
2025-02-04 15:45:00,0,RL,1,60,1.7202348526117524,max
2025-02-06 10:15:00,0,RL,1,54,-5.354728025027809,hard_sl
2025-02-06 10:35:00,0,RL,1,50,-6.832782065417334,hard_sl
2025-02-06 11:15:00,0,RL,1,41,-4.081003045524836,hard_sl
2025-02-07 14:40:00,0,RL,1,34,-4.466746783929138,hard_sl
2025-02-07 15:05:00,0,RL,1,22,-4.195653804046254,hard_sl
