feature,win_med,hsl_med,diff,cohen_d,p,n_win,n_hsl
quantum_flow_h4,713.9321428571386,254.5371428571421,-459.3949999999965,-0.193,0.00014,1513,785
hour_enc,0.2588190451025207,0.258819045102521,3.3306690738754696e-16,0.182,6e-05,1513,785
vwap_dist,0.5206407293275315,0.150535785915153,-0.3701049434123785,-0.091,0.04798,1513,785
quantum_flow,54.11571428571506,41.80000000000064,-12.31571428571442,-0.071,0.33321,1513,785
quantum_momentum,9.397500000000004,6.191785714287846,-3.2057142857121583,-0.071,0.35805,1513,785
quantum_divergence,0.0,0.0,0.0,-0.067,0.13079,1513,785
kramers_up,0.0050350018823992,0.0030127769928886,-0.0020222248895105997,0.061,0.01854,1513,785
quantum_vwap_conf,1.0,1.0,0.0,-0.059,0.17502,1513,785
wavelet_er,26.82992999506477,28.968674421004103,2.1387444259393327,0.059,0.03757,1513,785
entropy_rate,0.8025827178659574,0.8037023638906186,0.0011196460246611917,-0.027,0.36047,1513,785
hurst_rs,0.5255743178922592,0.5234296013728902,-0.0021447165193689832,0.017,0.75778,1513,785
quantum_div_strength,0.0,0.0,0.0,0.014,0.92864,1513,785
dow_enc,0.0,0.0,0.0,0.012,0.68351,1513,785
ou_theta,0.0843576038443318,0.0875620237152202,0.003204419870888403,-0.011,0.36408,1513,785
