feature,win_med,hsl_med,diff,cohen_d,p,n_win,n_hsl
vpin,0.5695078284668577,0.5293346384920233,-0.04017318997483432,-0.292,0.0,1340,711
sig_quad_var,0.6944428891617407,0.5711440916593772,-0.1232987975023635,-0.242,0.0,1340,711
hawkes_eta,0.8109609609609594,0.4545454545454545,-0.3564155064155049,-0.231,0.0,1340,711
hour_enc,-0.2588190451025208,1.2246467991473532e-16,0.2588190451025209,0.159,6e-05,1340,711
quantum_vwap_conf,1.0,1.0,0.0,0.128,0.00525,1340,711
quantum_divergence,0.0,0.0,0.0,-0.093,0.04314,1340,711
vwap_dist,0.46694411291648863,0.2903020685655401,-0.17664204435094855,-0.071,0.12951,1340,711
wavelet_er,26.264206187228584,25.440429214752445,-0.8237769724761392,-0.062,0.46337,1340,711
entropy_rate,0.7902583093127543,0.7980879175887662,0.007829608276011868,0.06,0.39536,1340,711
dow_enc,0.0,0.0,0.0,0.056,0.12282,1340,711
kramers_up,0.0029145218525045502,0.0021177244762845,-0.00079679737622005,-0.035,0.96504,1340,711
hurst_rs,0.5246129101102864,0.5244283117159123,-0.00018459839437412473,-0.03,0.39803,1340,711
ou_theta,0.07614949841412261,0.0783298028664552,0.002180304452332596,0.026,0.51955,1340,711
quantum_flow_h4,1651.9785000000015,-8697.807999999997,-10349.786499999998,-0.026,0.16679,1340,711
har_rv_ratio,0.7389319891589221,0.7204813948488198,-0.01845059431010232,0.02,0.94544,1340,711
quantum_div_strength,5214.946499999996,7369.779285714279,2154.832785714282,0.018,0.5897,1340,711
quantum_momentum,-536.0049464285862,-479.1510714285287,56.853875000057485,-0.017,0.75706,1340,711
quantum_flow,2861.3912499999697,4487.962571428574,1626.5713214286043,-0.006,0.29194,1340,711
