feature,win_med,hsl_med,diff,cohen_d,p,n_win,n_hsl
sig_quad_var,0.1542592325481698,0.1226692151713378,-0.03159001737683201,-0.268,1e-05,893,285
vpin,0.5529233782110357,0.5257042987170649,-0.027219079493970733,-0.229,0.00058,893,285
hurst_rs,0.5241079166830358,0.5132752521318966,-0.010832664551139182,-0.221,0.0014,893,285
quantum_flow_h4,636.0171428571427,199.17857142857096,-436.83857142857175,-0.214,0.00457,893,285
vwap_dist,0.8758379162218008,-0.1619569648262861,-1.037794881048087,-0.211,0.00123,893,285
hawkes_eta,0.7643928398645361,0.5555555555555556,-0.20883728430898052,-0.178,0.00406,893,285
har_rv_ratio,0.7681555684797057,0.6774083198416577,-0.09074724863804795,-0.147,0.01137,893,285
wavelet_er,23.903932527796588,22.23939961986277,-1.6645329079338183,-0.145,0.43209,893,285
hour_enc,1.2246467991473532e-16,0.2588190451025207,0.2588190451025206,0.142,0.01022,893,285
quantum_flow,102.55499999999545,15.160357142857022,-87.39464285713842,-0.136,0.01795,893,285
quantum_momentum,28.321428571430147,25.445357142855585,-2.876071428574562,-0.079,0.57007,893,285
kramers_up,0.0090891458673374,0.0023045666557855,-0.0067845792115519,-0.071,0.00336,893,285
dow_enc,0.0,0.0,0.0,-0.066,0.2839,893,285
quantum_vwap_conf,1.0,1.0,0.0,0.057,0.41526,893,285
quantum_divergence,0.0,0.0,0.0,0.041,0.54665,893,285
quantum_div_strength,0.0,70.87321428571475,70.87321428571475,-0.006,0.61145,893,285
entropy_rate,0.7976832571965706,0.799641190184242,0.001957932987671329,0.004,0.76405,893,285
ou_theta,0.0809339121692173,0.0858660392814565,0.0049321271122391985,-0.003,0.29061,893,285
